source,target,relation,source_type,target_type
Integrated pest management (IPM),Nitrous Oxide (N2O),INCREASES,Practice,Emission
Sea level rise,Soil erosion,WORSENS,Climate Effect,Outcome
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Rising temperatures,Sorghum,REDUCES,Climate Effect,Crop
Rising temperatures,Grapes,REDUCES,Climate Effect,Crop
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
Rising temperatures,Pest outbreaks,INCREASES,Climate Effect,Outcome
Terracing,Soil erosion,REDUCES,Practice,Outcome
Coffee,Glacial meltwater,REQUIRES,Crop,Resource
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Increased flooding,Clay soil,AFFECTS,Climate Effect,Soil
Rising temperatures,Food security,THREATENS,Climate Effect,Outcome
Heatwaves,Crop yield,DECREASES,Climate Effect,Outcome
Greenhouse Gases (GHG),Sea level rise,CAUSES,Emission,Climate Effect
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
Rising temperatures,Coffee,REDUCES,Climate Effect,Crop
Rising temperatures,Apples,REDUCES,Climate Effect,Crop
Drought,Crop yield,DECREASES,Climate Effect,Outcome
Altered precipitation patterns,Soil erosion,WORSENS,Climate Effect,Outcome
Carbon Dioxide (CO2),Sea level rise,CAUSES,Emission,Climate Effect
No-tillage farming,Greenhouse Gases (GHG),REDUCES,Practice,Emission
Precision agriculture,Sustainable intensification,IMPROVES,Practice,Climate Mitigation
Contour plowing,Crop yield,AFFECTS,Practice,Outcome
Precision agriculture,Soil health,IMPROVES,Practice,Outcome
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Rising temperatures,Sorghum,REDUCES,Climate Effect,Crop
Drip irrigation,Soil erosion,REDUCES,Practice,Outcome
CO2 Levels,Ocean acidification,CAUSES,Specific Entity,Climate Effect
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Rising temperatures,Potatoes,REDUCES,Climate Effect,Crop
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Pesticides,Biodiversity loss,REDUCES,Specific Entity,Outcome
Drip irrigation,Glacial meltwater,CONSERVES,Practice,Resource
Precision agriculture,Biofuel production,IMPROVES,Practice,Climate Mitigation
Cover cropping,Soil erosion,REDUCES,Practice,Outcome
Terracing,Methane (CH4),REDUCES,Practice,Emission
Flood irrigation,Crop yield,AFFECTS,Practice,Outcome
Ocean acidification,Sorghum,REDUCES,Climate Effect,Crop
Increased flooding,Water scarcity,INCREASES,Climate Effect,Outcome
Greenhouse Gases (GHG),Soil salinization,CAUSES,Emission,Climate Effect
Heatwaves,Sandy soil,AFFECTS,Climate Effect,Soil
Ocean acidification,Cassava,REDUCES,Climate Effect,Crop
Cover cropping,Greenhouse Gases (GHG),REDUCES,Practice,Emission
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Pesticides,Biodiversity loss,REDUCES,Specific Entity,Outcome
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Altered precipitation patterns,Coffee,REDUCES,Climate Effect,Crop
Nitrous Oxide (N2O),Extreme weather events,CAUSES,Emission,Climate Effect
Rising temperatures,Rice,REDUCES,Climate Effect,Crop
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Soil salinization,Crop yield,DECREASES,Climate Effect,Outcome
CO2 Levels,Ocean acidification,CAUSES,Specific Entity,Climate Effect
Precision agriculture,Soil health,IMPROVES,Practice,Outcome
Crop rotation,Crop yield,AFFECTS,Practice,Outcome
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Drip irrigation,Glacial meltwater,CONSERVES,Practice,Resource
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Drought,Water scarcity,INCREASES,Climate Effect,Outcome
No-tillage farming,Carbon sequestration,IMPROVES,Practice,Climate Mitigation
Increased flooding,Soil erosion,WORSENS,Climate Effect,Outcome
Flood irrigation,Soil health,IMPROVES,Practice,Outcome
Nitrogen Fertilizers,Nitrous Oxide (N2O),RELEASES,Specific Entity,Emission
Precision agriculture,Methane (CH4),REDUCES,Practice,Emission
Maize (Corn),Groundwater,REQUIRES,Crop,Resource
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Integrated pest management (IPM),Greenhouse Gases (GHG),INCREASES,Practice,Emission
Increased flooding,Water scarcity,INCREASES,Climate Effect,Outcome
No-tillage farming,Nitrous Oxide (N2O),REDUCES,Practice,Emission
Greenhouse Gases (GHG),Increased flooding,CAUSES,Emission,Climate Effect
Integrated pest management (IPM),Nitrous Oxide (N2O),REDUCES,Practice,Emission
Drip irrigation,Freshwater aquifers,CONSERVES,Practice,Resource
Nitrogen Fertilizers,Nitrous Oxide (N2O),RELEASES,Specific Entity,Emission
Heatwaves,Crop yield,DECREASES,Climate Effect,Outcome
Extreme weather events,Food security,THREATENS,Climate Effect,Outcome
Ocean acidification,Barley,REDUCES,Climate Effect,Crop
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Reduced chill hours,Crop yield,DECREASES,Climate Effect,Outcome
Altered precipitation patterns,Chalky soil,AFFECTS,Climate Effect,Soil
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Nitrogen Fertilizers,Nitrous Oxide (N2O),RELEASES,Specific Entity,Emission
Altered precipitation patterns,Crop yield,DECREASES,Climate Effect,Outcome
Reduced chill hours,Food security,THREATENS,Climate Effect,Outcome
Precision agriculture,Nitrous Oxide (N2O),REDUCES,Practice,Emission
Soil salinization,Cassava,REDUCES,Climate Effect,Crop
Extreme weather events,Water scarcity,INCREASES,Climate Effect,Outcome
Nitrous Oxide (N2O),Increased flooding,CAUSES,Emission,Climate Effect
Rising temperatures,Maize (Corn),REDUCES,Climate Effect,Crop
Methane (CH4),Drought,CAUSES,Emission,Climate Effect
Drip irrigation,Freshwater aquifers,CONSERVES,Practice,Resource
Crop rotation,Crop yield,AFFECTS,Practice,Outcome
Pesticides,Biodiversity loss,REDUCES,Specific Entity,Outcome
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
Increased flooding,Crop yield,DECREASES,Climate Effect,Outcome
Precision agriculture,Carbon Dioxide (CO2),INCREASES,Practice,Emission
Increased flooding,Water scarcity,INCREASES,Climate Effect,Outcome
Contour plowing,Methane (CH4),INCREASES,Practice,Emission
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
Crop rotation,Methane (CH4),REDUCES,Practice,Emission
No-tillage farming,Carbon Dioxide (CO2),INCREASES,Practice,Emission
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
Ocean acidification,Wheat,REDUCES,Climate Effect,Crop
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Crop rotation,Soil erosion,REDUCES,Practice,Outcome
Reduced chill hours,Sorghum,REDUCES,Climate Effect,Crop
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Extreme weather events,Soybeans,REDUCES,Climate Effect,Crop
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Organic farming,Soil erosion,REDUCES,Practice,Outcome
Organic farming,Methane (CH4),INCREASES,Practice,Emission
Contour plowing,Soil health,IMPROVES,Practice,Outcome
Potatoes,Sandy soil,REQUIRES,Crop,Soil
Contour plowing,Methane (CH4),REDUCES,Practice,Emission
Reduced chill hours,Chalky soil,AFFECTS,Climate Effect,Soil
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Terracing,Nitrous Oxide (N2O),INCREASES,Practice,Emission
Drought,Soil erosion,WORSENS,Climate Effect,Outcome
Apples,Arable land,REQUIRES,Crop,Resource
Sugarcane,Arable land,REQUIRES,Crop,Resource
Soil salinization,Silty soil,AFFECTS,Climate Effect,Soil
Greenhouse Gases (GHG),Drought,CAUSES,Emission,Climate Effect
Carbon Dioxide (CO2),Sea level rise,CAUSES,Emission,Climate Effect
Rising temperatures,Crop yield,DECREASES,Climate Effect,Outcome
Pesticides,Biodiversity loss,REDUCES,Specific Entity,Outcome
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
No-tillage farming,Soil erosion,REDUCES,Practice,Outcome
No-tillage farming,Crop yield,AFFECTS,Practice,Outcome
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Nitrous Oxide (N2O),Increased flooding,CAUSES,Emission,Climate Effect
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Drought,Barley,REDUCES,Climate Effect,Crop
Nitrogen Fertilizers,Nitrous Oxide (N2O),RELEASES,Specific Entity,Emission
Drip irrigation,Soil health,IMPROVES,Practice,Outcome
Sea level rise,Silty soil,AFFECTS,Climate Effect,Soil
Agroforestry,Soil health,IMPROVES,Practice,Outcome
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Drip irrigation,Greenhouse Gases (GHG),REDUCES,Practice,Emission
Terracing,Methane (CH4),REDUCES,Practice,Emission
Reduced chill hours,Soil erosion,WORSENS,Climate Effect,Outcome
Nitrogen Fertilizers,Nitrous Oxide (N2O),RELEASES,Specific Entity,Emission
Soil salinization,Crop yield,DECREASES,Climate Effect,Outcome
Nitrogen Fertilizers,Nitrous Oxide (N2O),RELEASES,Specific Entity,Emission
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Drip irrigation,Freshwater aquifers,CONSERVES,Practice,Resource
Flood irrigation,Soil health,IMPROVES,Practice,Outcome
Reduced chill hours,Barley,REDUCES,Climate Effect,Crop
Flood irrigation,Soil health,IMPROVES,Practice,Outcome
Drought,Pest outbreaks,INCREASES,Climate Effect,Outcome
Soil salinization,Water scarcity,INCREASES,Climate Effect,Outcome
Pesticides,Biodiversity loss,REDUCES,Specific Entity,Outcome
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Heatwaves,Silty soil,AFFECTS,Climate Effect,Soil
Crop rotation,Soil erosion,REDUCES,Practice,Outcome
Heatwaves,Food security,THREATENS,Climate Effect,Outcome
Carbon Dioxide (CO2),Drought,CAUSES,Emission,Climate Effect
Reduced chill hours,Water scarcity,INCREASES,Climate Effect,Outcome
Integrated pest management (IPM),Soil health,IMPROVES,Practice,Outcome
Integrated pest management (IPM),Soil health,IMPROVES,Practice,Outcome
Terracing,Methane (CH4),REDUCES,Practice,Emission
Drip irrigation,Soil erosion,REDUCES,Practice,Outcome
Reduced chill hours,Soil erosion,WORSENS,Climate Effect,Outcome
Precision agriculture,Crop yield,AFFECTS,Practice,Outcome
Rising temperatures,Cassava,REDUCES,Climate Effect,Crop
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
Rising temperatures,Cassava,REDUCES,Climate Effect,Crop
Agroforestry,Carbon Dioxide (CO2),REDUCES,Practice,Emission
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Crop rotation,Crop yield,AFFECTS,Practice,Outcome
Carbon Dioxide (CO2),Increased flooding,CAUSES,Emission,Climate Effect
Reduced chill hours,Water scarcity,INCREASES,Climate Effect,Outcome
Drip irrigation,Groundwater,CONSERVES,Practice,Resource
Methane (CH4),Extreme weather events,CAUSES,Emission,Climate Effect
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Extreme weather events,Pest outbreaks,INCREASES,Climate Effect,Outcome
Altered precipitation patterns,Pest outbreaks,INCREASES,Climate Effect,Outcome
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Increased flooding,Barley,REDUCES,Climate Effect,Crop
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Agroforestry,Crop yield,AFFECTS,Practice,Outcome
Greenhouse Gases (GHG),Reduced chill hours,CAUSES,Emission,Climate Effect
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Extreme weather events,Water scarcity,INCREASES,Climate Effect,Outcome
Increased flooding,Grapes,REDUCES,Climate Effect,Crop
Rising temperatures,Water scarcity,INCREASES,Climate Effect,Outcome
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
No-tillage farming,Nitrous Oxide (N2O),REDUCES,Practice,Emission
Rising temperatures,Rice,REDUCES,Climate Effect,Crop
Rising temperatures,Crop yield,DECREASES,Climate Effect,Outcome
Sea level rise,Food security,THREATENS,Climate Effect,Outcome
No-tillage farming,Water conservation,IMPROVES,Practice,Climate Mitigation
Extreme weather events,Crop yield,DECREASES,Climate Effect,Outcome
Agroforestry,Nitrous Oxide (N2O),INCREASES,Practice,Emission
Rising temperatures,Food security,THREATENS,Climate Effect,Outcome
Increased flooding,Crop yield,DECREASES,Climate Effect,Outcome
Contour plowing,Soil erosion,REDUCES,Practice,Outcome
Reduced chill hours,Water scarcity,INCREASES,Climate Effect,Outcome
Methane (CH4),Altered precipitation patterns,CAUSES,Emission,Climate Effect
Sea level rise,Food security,THREATENS,Climate Effect,Outcome
Rising temperatures,Rice,REDUCES,Climate Effect,Crop
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
Ocean acidification,Sorghum,REDUCES,Climate Effect,Crop
Nitrogen Fertilizers,Nitrous Oxide (N2O),RELEASES,Specific Entity,Emission
Coffee,Glacial meltwater,REQUIRES,Crop,Resource
Greenhouse Gases (GHG),Soil salinization,CAUSES,Emission,Climate Effect
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
Contour plowing,Methane (CH4),REDUCES,Practice,Emission
Nitrogen Fertilizers,Nitrous Oxide (N2O),RELEASES,Specific Entity,Emission
Contour plowing,Water conservation,IMPROVES,Practice,Climate Mitigation
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Integrated pest management (IPM),Carbon sequestration,IMPROVES,Practice,Climate Mitigation
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Heatwaves,Crop yield,DECREASES,Climate Effect,Outcome
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Precision agriculture,Methane (CH4),INCREASES,Practice,Emission
Increased flooding,Water scarcity,INCREASES,Climate Effect,Outcome
Drip irrigation,Arable land,CONSERVES,Practice,Resource
Drip irrigation,River systems,CONSERVES,Practice,Resource
Nitrogen Fertilizers,Nitrous Oxide (N2O),RELEASES,Specific Entity,Emission
Methane (CH4),Sea level rise,CAUSES,Emission,Climate Effect
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Organic farming,Crop yield,AFFECTS,Practice,Outcome
Cover cropping,Crop yield,AFFECTS,Practice,Outcome
Drip irrigation,Arable land,CONSERVES,Practice,Resource
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Apples,Arable land,REQUIRES,Crop,Resource
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Grapes,Loam,REQUIRES,Crop,Soil
Drought,Soil erosion,WORSENS,Climate Effect,Outcome
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Integrated pest management (IPM),Water conservation,IMPROVES,Practice,Climate Mitigation
Drip irrigation,Glacial meltwater,CONSERVES,Practice,Resource
No-tillage farming,Carbon Dioxide (CO2),REDUCES,Practice,Emission
Sea level rise,Chalky soil,AFFECTS,Climate Effect,Soil
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Altered precipitation patterns,Peat soil,AFFECTS,Climate Effect,Soil
Rising temperatures,Sorghum,REDUCES,Climate Effect,Crop
Extreme weather events,Crop yield,DECREASES,Climate Effect,Outcome
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Carbon Dioxide (CO2),Altered precipitation patterns,CAUSES,Emission,Climate Effect
Altered precipitation patterns,Soil erosion,WORSENS,Climate Effect,Outcome
Ocean acidification,Sandy soil,AFFECTS,Climate Effect,Soil
Precision agriculture,Nitrous Oxide (N2O),INCREASES,Practice,Emission
Cover cropping,Soil erosion,REDUCES,Practice,Outcome
Integrated pest management (IPM),Soil health,IMPROVES,Practice,Outcome
Organic farming,Crop yield,AFFECTS,Practice,Outcome
Soil salinization,Food security,THREATENS,Climate Effect,Outcome
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Carbon Dioxide (CO2),Soil salinization,CAUSES,Emission,Climate Effect
No-tillage farming,Methane (CH4),REDUCES,Practice,Emission
Reduced chill hours,Pest outbreaks,INCREASES,Climate Effect,Outcome
Agroforestry,Crop yield,AFFECTS,Practice,Outcome
Altered precipitation patterns,Pest outbreaks,INCREASES,Climate Effect,Outcome
Reduced chill hours,Pest outbreaks,INCREASES,Climate Effect,Outcome
Organic farming,Methane (CH4),INCREASES,Practice,Emission
Pesticides,Biodiversity loss,REDUCES,Specific Entity,Outcome
Agroforestry,Greenhouse Gases (GHG),INCREASES,Practice,Emission
Pesticides,Biodiversity loss,REDUCES,Specific Entity,Outcome
Cover cropping,Soil health,IMPROVES,Practice,Outcome
Contour plowing,Water conservation,IMPROVES,Practice,Climate Mitigation
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Altered precipitation patterns,Food security,THREATENS,Climate Effect,Outcome
Pesticides,Biodiversity loss,REDUCES,Specific Entity,Outcome
Soil salinization,Soil erosion,WORSENS,Climate Effect,Outcome
CO2 Levels,Ocean acidification,CAUSES,Specific Entity,Climate Effect
Agroforestry,Carbon Dioxide (CO2),REDUCES,Practice,Emission
Apples,Chalky soil,REQUIRES,Crop,Soil
Contour plowing,Carbon sequestration,IMPROVES,Practice,Climate Mitigation
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Pesticides,Biodiversity loss,REDUCES,Specific Entity,Outcome
Contour plowing,Soil health,IMPROVES,Practice,Outcome
Drip irrigation,Arable land,CONSERVES,Practice,Resource
CO2 Levels,Ocean acidification,CAUSES,Specific Entity,Climate Effect
Coffee,Groundwater,REQUIRES,Crop,Resource
Cover cropping,Crop yield,AFFECTS,Practice,Outcome
Increased flooding,Crop yield,DECREASES,Climate Effect,Outcome
Drip irrigation,Greenhouse Gases (GHG),INCREASES,Practice,Emission
Terracing,Soil erosion,REDUCES,Practice,Outcome
Heatwaves,Clay soil,AFFECTS,Climate Effect,Soil
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Organic farming,Carbon sequestration,IMPROVES,Practice,Climate Mitigation
Sea level rise,Crop yield,DECREASES,Climate Effect,Outcome
Sugarcane,River systems,REQUIRES,Crop,Resource
Drought,Water scarcity,INCREASES,Climate Effect,Outcome
Contour plowing,Nitrous Oxide (N2O),REDUCES,Practice,Emission
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Organic farming,Water conservation,IMPROVES,Practice,Climate Mitigation
Drip irrigation,Crop yield,AFFECTS,Practice,Outcome
Wheat,Groundwater,REQUIRES,Crop,Resource
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Contour plowing,Soil health,IMPROVES,Practice,Outcome
Integrated pest management (IPM),Crop yield,AFFECTS,Practice,Outcome
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Cassava,Chalky soil,REQUIRES,Crop,Soil
Flood irrigation,Soil health,IMPROVES,Practice,Outcome
Nitrogen Fertilizers,Nitrous Oxide (N2O),RELEASES,Specific Entity,Emission
Altered precipitation patterns,Food security,THREATENS,Climate Effect,Outcome
Drought,Soybeans,REDUCES,Climate Effect,Crop
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Rising temperatures,Coffee,REDUCES,Climate Effect,Crop
Rising temperatures,Potatoes,REDUCES,Climate Effect,Crop
Organic farming,Carbon sequestration,IMPROVES,Practice,Climate Mitigation
Drip irrigation,Freshwater aquifers,CONSERVES,Practice,Resource
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Organic farming,Crop yield,AFFECTS,Practice,Outcome
Flood irrigation,Soil erosion,REDUCES,Practice,Outcome
Reduced chill hours,Crop yield,DECREASES,Climate Effect,Outcome
Terracing,Soil erosion,REDUCES,Practice,Outcome
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Soybeans,Sandy soil,REQUIRES,Crop,Soil
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Organic farming,Soil health,IMPROVES,Practice,Outcome
Precision agriculture,Soil health,IMPROVES,Practice,Outcome
Rising temperatures,Rice,REDUCES,Climate Effect,Crop
No-tillage farming,Methane (CH4),REDUCES,Practice,Emission
Organic farming,Soil health,IMPROVES,Practice,Outcome
