source,target,relation,source_type,target_type
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Flood irrigation,Sustainable intensification,IMPROVES,Practice,Climate Mitigation
Soil salinization,Sandy soil,AFFECTS,Climate Effect,Soil
Increased flooding,Water scarcity,INCREASES,Climate Effect,Outcome
Flood irrigation,Nitrous Oxide (N2O),INCREASES,Practice,Emission
Barley,River systems,REQUIRES,Crop,Resource
Integrated pest management (IPM),Biofuel production,IMPROVES,Practice,Climate Mitigation
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Organic farming,Soil health,IMPROVES,Practice,Outcome
Soil salinization,Water scarcity,INCREASES,Climate Effect,Outcome
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Soil salinization,Water scarcity,INCREASES,Climate Effect,Outcome
Increased flooding,Rice,REDUCES,Climate Effect,Crop
Soil salinization,Food security,THREATENS,Climate Effect,Outcome
Crop rotation,Sustainable intensification,IMPROVES,Practice,Climate Mitigation
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Crop rotation,Greenhouse Gases (GHG),INCREASES,Practice,Emission
Extreme weather events,Soil erosion,WORSENS,Climate Effect,Outcome
Drip irrigation,Freshwater aquifers,CONSERVES,Practice,Resource
Rising temperatures,Potatoes,REDUCES,Climate Effect,Crop
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
No-tillage farming,Carbon Dioxide (CO2),REDUCES,Practice,Emission
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Drip irrigation,River systems,CONSERVES,Practice,Resource
Crop rotation,Soil erosion,REDUCES,Practice,Outcome
Integrated pest management (IPM),Crop yield,AFFECTS,Practice,Outcome
Rising temperatures,Food security,THREATENS,Climate Effect,Outcome
Nitrogen Fertilizers,Nitrous Oxide (N2O),RELEASES,Specific Entity,Emission
Ocean acidification,Crop yield,DECREASES,Climate Effect,Outcome
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Organic farming,Soil health,IMPROVES,Practice,Outcome
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
Altered precipitation patterns,Coffee,REDUCES,Climate Effect,Crop
Nitrous Oxide (N2O),Increased flooding,CAUSES,Emission,Climate Effect
Rising temperatures,Wheat,REDUCES,Climate Effect,Crop
Drip irrigation,River systems,CONSERVES,Practice,Resource
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Increased flooding,Sandy soil,AFFECTS,Climate Effect,Soil
Soil salinization,Crop yield,DECREASES,Climate Effect,Outcome
Pesticides,Biodiversity loss,REDUCES,Specific Entity,Outcome
Reduced chill hours,Water scarcity,INCREASES,Climate Effect,Outcome
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
Pesticides,Biodiversity loss,REDUCES,Specific Entity,Outcome
Cassava,River systems,REQUIRES,Crop,Resource
Soil salinization,Crop yield,DECREASES,Climate Effect,Outcome
Agroforestry,Crop yield,AFFECTS,Practice,Outcome
Greenhouse Gases (GHG),Increased flooding,CAUSES,Emission,Climate Effect
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Heatwaves,Loam,AFFECTS,Climate Effect,Soil
Nitrogen Fertilizers,Nitrous Oxide (N2O),RELEASES,Specific Entity,Emission
Drip irrigation,Freshwater aquifers,CONSERVES,Practice,Resource
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Extreme weather events,Crop yield,DECREASES,Climate Effect,Outcome
Carbon Dioxide (CO2),Extreme weather events,CAUSES,Emission,Climate Effect
No-tillage farming,Soil erosion,REDUCES,Practice,Outcome
Pesticides,Biodiversity loss,REDUCES,Specific Entity,Outcome
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Soil salinization,Pest outbreaks,INCREASES,Climate Effect,Outcome
Integrated pest management (IPM),Methane (CH4),INCREASES,Practice,Emission
Reduced chill hours,Crop yield,DECREASES,Climate Effect,Outcome
Flood irrigation,Soil health,IMPROVES,Practice,Outcome
Precision agriculture,Greenhouse Gases (GHG),INCREASES,Practice,Emission
Heatwaves,Soil erosion,WORSENS,Climate Effect,Outcome
Ocean acidification,Maize (Corn),REDUCES,Climate Effect,Crop
Reduced chill hours,Water scarcity,INCREASES,Climate Effect,Outcome
Soil salinization,Crop yield,DECREASES,Climate Effect,Outcome
Extreme weather events,Pest outbreaks,INCREASES,Climate Effect,Outcome
Drought,Food security,THREATENS,Climate Effect,Outcome
Soil salinization,Pest outbreaks,INCREASES,Climate Effect,Outcome
Methane (CH4),Increased flooding,CAUSES,Emission,Climate Effect
CO2 Levels,Ocean acidification,CAUSES,Specific Entity,Climate Effect
Drought,Food security,THREATENS,Climate Effect,Outcome
Heatwaves,Apples,REDUCES,Climate Effect,Crop
Extreme weather events,Cotton,REDUCES,Climate Effect,Crop
Nitrous Oxide (N2O),Heatwaves,CAUSES,Emission,Climate Effect
Rising temperatures,Apples,REDUCES,Climate Effect,Crop
Crop rotation,Biofuel production,IMPROVES,Practice,Climate Mitigation
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Increased flooding,Sandy soil,AFFECTS,Climate Effect,Soil
Reduced chill hours,Crop yield,DECREASES,Climate Effect,Outcome
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Organic farming,Methane (CH4),INCREASES,Practice,Emission
Integrated pest management (IPM),Nitrous Oxide (N2O),REDUCES,Practice,Emission
Soil salinization,Clay soil,AFFECTS,Climate Effect,Soil
Rising temperatures,Crop yield,DECREASES,Climate Effect,Outcome
Drip irrigation,Groundwater,CONSERVES,Practice,Resource
Terracing,Carbon Dioxide (CO2),INCREASES,Practice,Emission
Rising temperatures,Crop yield,DECREASES,Climate Effect,Outcome
Carbon Dioxide (CO2),Rising temperatures,CAUSES,Emission,Climate Effect
Drip irrigation,River systems,CONSERVES,Practice,Resource
Ocean acidification,Cotton,REDUCES,Climate Effect,Crop
Organic farming,Methane (CH4),REDUCES,Practice,Emission
Wheat,Glacial meltwater,REQUIRES,Crop,Resource
Soil salinization,Maize (Corn),REDUCES,Climate Effect,Crop
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Increased flooding,Water scarcity,INCREASES,Climate Effect,Outcome
Rising temperatures,Cotton,REDUCES,Climate Effect,Crop
Drip irrigation,Nitrous Oxide (N2O),REDUCES,Practice,Emission
Rising temperatures,Apples,REDUCES,Climate Effect,Crop
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Integrated pest management (IPM),Nitrous Oxide (N2O),INCREASES,Practice,Emission
Sea level rise,Water scarcity,INCREASES,Climate Effect,Outcome
Wheat,Freshwater aquifers,REQUIRES,Crop,Resource
Rising temperatures,Cotton,REDUCES,Climate Effect,Crop
Rising temperatures,Potatoes,REDUCES,Climate Effect,Crop
Drip irrigation,Soil health,IMPROVES,Practice,Outcome
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
CO2 Levels,Ocean acidification,CAUSES,Specific Entity,Climate Effect
Pesticides,Biodiversity loss,REDUCES,Specific Entity,Outcome
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Integrated pest management (IPM),Soil erosion,REDUCES,Practice,Outcome
Precision agriculture,Soil health,IMPROVES,Practice,Outcome
Extreme weather events,Crop yield,DECREASES,Climate Effect,Outcome
Drip irrigation,River systems,CONSERVES,Practice,Resource
Flood irrigation,Carbon Dioxide (CO2),INCREASES,Practice,Emission
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Reduced chill hours,Food security,THREATENS,Climate Effect,Outcome
Rising temperatures,Wheat,REDUCES,Climate Effect,Crop
Soybeans,Arable land,REQUIRES,Crop,Resource
Extreme weather events,Soil erosion,WORSENS,Climate Effect,Outcome
Contour plowing,Carbon Dioxide (CO2),REDUCES,Practice,Emission
Agroforestry,Carbon Dioxide (CO2),REDUCES,Practice,Emission
Integrated pest management (IPM),Methane (CH4),INCREASES,Practice,Emission
Integrated pest management (IPM),Sustainable intensification,IMPROVES,Practice,Climate Mitigation
Extreme weather events,Food security,THREATENS,Climate Effect,Outcome
Integrated pest management (IPM),Greenhouse Gases (GHG),REDUCES,Practice,Emission
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
Precision agriculture,Greenhouse Gases (GHG),INCREASES,Practice,Emission
Integrated pest management (IPM),Soil health,IMPROVES,Practice,Outcome
Heatwaves,Soil erosion,WORSENS,Climate Effect,Outcome
Extreme weather events,Crop yield,DECREASES,Climate Effect,Outcome
Sea level rise,Grapes,REDUCES,Climate Effect,Crop
Pesticides,Biodiversity loss,REDUCES,Specific Entity,Outcome
Altered precipitation patterns,Pest outbreaks,INCREASES,Climate Effect,Outcome
Extreme weather events,Crop yield,DECREASES,Climate Effect,Outcome
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Increased flooding,Soil erosion,WORSENS,Climate Effect,Outcome
Heatwaves,Crop yield,DECREASES,Climate Effect,Outcome
Altered precipitation patterns,Water scarcity,INCREASES,Climate Effect,Outcome
Altered precipitation patterns,Water scarcity,INCREASES,Climate Effect,Outcome
Rising temperatures,Wheat,REDUCES,Climate Effect,Crop
Ocean acidification,Food security,THREATENS,Climate Effect,Outcome
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Precision agriculture,Carbon Dioxide (CO2),REDUCES,Practice,Emission
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
CO2 Levels,Ocean acidification,CAUSES,Specific Entity,Climate Effect
Pesticides,Biodiversity loss,REDUCES,Specific Entity,Outcome
Flood irrigation,Nitrous Oxide (N2O),REDUCES,Practice,Emission
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Methane (CH4),Heatwaves,CAUSES,Emission,Climate Effect
Rising temperatures,Grapes,REDUCES,Climate Effect,Crop
Extreme weather events,Barley,REDUCES,Climate Effect,Crop
Drip irrigation,River systems,CONSERVES,Practice,Resource
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Nitrous Oxide (N2O),Ocean acidification,CAUSES,Emission,Climate Effect
Ocean acidification,Pest outbreaks,INCREASES,Climate Effect,Outcome
Flood irrigation,Crop yield,AFFECTS,Practice,Outcome
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Soil salinization,Crop yield,DECREASES,Climate Effect,Outcome
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Nitrous Oxide (N2O),Rising temperatures,CAUSES,Emission,Climate Effect
Maize (Corn),Silty soil,REQUIRES,Crop,Soil
Precision agriculture,Sustainable intensification,IMPROVES,Practice,Climate Mitigation
Sugarcane,Freshwater aquifers,REQUIRES,Crop,Resource
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Crop rotation,Soil health,IMPROVES,Practice,Outcome
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Sea level rise,Water scarcity,INCREASES,Climate Effect,Outcome
Cover cropping,Crop yield,AFFECTS,Practice,Outcome
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Crop rotation,Sustainable intensification,IMPROVES,Practice,Climate Mitigation
Drip irrigation,Methane (CH4),REDUCES,Practice,Emission
Crop rotation,Soil erosion,REDUCES,Practice,Outcome
Heatwaves,Food security,THREATENS,Climate Effect,Outcome
Extreme weather events,Pest outbreaks,INCREASES,Climate Effect,Outcome
Extreme weather events,Rice,REDUCES,Climate Effect,Crop
Integrated pest management (IPM),Greenhouse Gases (GHG),REDUCES,Practice,Emission
Coffee,Glacial meltwater,REQUIRES,Crop,Resource
Ocean acidification,Sandy soil,AFFECTS,Climate Effect,Soil
Drip irrigation,Freshwater aquifers,CONSERVES,Practice,Resource
Crop rotation,Nitrous Oxide (N2O),REDUCES,Practice,Emission
Soil salinization,Grapes,REDUCES,Climate Effect,Crop
Carbon Dioxide (CO2),Increased flooding,CAUSES,Emission,Climate Effect
No-tillage farming,Biofuel production,IMPROVES,Practice,Climate Mitigation
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Crop rotation,Genetic modification (GM),IMPROVES,Practice,Climate Mitigation
Soybeans,Silty soil,REQUIRES,Crop,Soil
Sugarcane,Glacial meltwater,REQUIRES,Crop,Resource
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Drip irrigation,Arable land,CONSERVES,Practice,Resource
Rising temperatures,Sorghum,REDUCES,Climate Effect,Crop
Agroforestry,Soil erosion,REDUCES,Practice,Outcome
Heatwaves,Soil erosion,WORSENS,Climate Effect,Outcome
Precision agriculture,Soil health,IMPROVES,Practice,Outcome
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Increased flooding,Wheat,REDUCES,Climate Effect,Crop
Precision agriculture,Crop yield,AFFECTS,Practice,Outcome
Nitrous Oxide (N2O),Heatwaves,CAUSES,Emission,Climate Effect
Nitrous Oxide (N2O),Extreme weather events,CAUSES,Emission,Climate Effect
No-tillage farming,Methane (CH4),INCREASES,Practice,Emission
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Soil salinization,Soil erosion,WORSENS,Climate Effect,Outcome
Soil salinization,Pest outbreaks,INCREASES,Climate Effect,Outcome
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Sea level rise,Cotton,REDUCES,Climate Effect,Crop
Drought,Water scarcity,INCREASES,Climate Effect,Outcome
Rising temperatures,Sorghum,REDUCES,Climate Effect,Crop
Drought,Crop yield,DECREASES,Climate Effect,Outcome
Altered precipitation patterns,Water scarcity,INCREASES,Climate Effect,Outcome
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
Drip irrigation,River systems,CONSERVES,Practice,Resource
Contour plowing,Nitrous Oxide (N2O),INCREASES,Practice,Emission
Integrated pest management (IPM),Soil erosion,REDUCES,Practice,Outcome
Organic farming,Methane (CH4),INCREASES,Practice,Emission
Rising temperatures,Grapes,REDUCES,Climate Effect,Crop
Drip irrigation,Carbon Dioxide (CO2),INCREASES,Practice,Emission
Integrated pest management (IPM),Soil erosion,REDUCES,Practice,Outcome
Precision agriculture,Soil health,IMPROVES,Practice,Outcome
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Reduced chill hours,Food security,THREATENS,Climate Effect,Outcome
Rising temperatures,Crop yield,DECREASES,Climate Effect,Outcome
Reduced chill hours,Grapes,REDUCES,Climate Effect,Crop
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
Altered precipitation patterns,Pest outbreaks,INCREASES,Climate Effect,Outcome
Nitrogen Fertilizers,Nitrous Oxide (N2O),RELEASES,Specific Entity,Emission
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Rising temperatures,Wheat,REDUCES,Climate Effect,Crop
Soil salinization,Loam,AFFECTS,Climate Effect,Soil
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
Precision agriculture,Soil health,IMPROVES,Practice,Outcome
Organic farming,Methane (CH4),REDUCES,Practice,Emission
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Organic farming,Soil health,IMPROVES,Practice,Outcome
Increased flooding,Apples,REDUCES,Climate Effect,Crop
Terracing,Soil erosion,REDUCES,Practice,Outcome
Contour plowing,Soil erosion,REDUCES,Practice,Outcome
Drip irrigation,Glacial meltwater,CONSERVES,Practice,Resource
Barley,Groundwater,REQUIRES,Crop,Resource
Cover cropping,Nitrous Oxide (N2O),REDUCES,Practice,Emission
Heatwaves,Food security,THREATENS,Climate Effect,Outcome
Integrated pest management (IPM),Soil health,IMPROVES,Practice,Outcome
Reduced chill hours,Water scarcity,INCREASES,Climate Effect,Outcome
Drip irrigation,Glacial meltwater,CONSERVES,Practice,Resource
Soil salinization,Pest outbreaks,INCREASES,Climate Effect,Outcome
Integrated pest management (IPM),Genetic modification (GM),IMPROVES,Practice,Climate Mitigation
Rising temperatures,Apples,REDUCES,Climate Effect,Crop
No-tillage farming,Biofuel production,IMPROVES,Practice,Climate Mitigation
Reduced chill hours,Food security,THREATENS,Climate Effect,Outcome
Rising temperatures,Food security,THREATENS,Climate Effect,Outcome
Sugarcane,Freshwater aquifers,REQUIRES,Crop,Resource
Precision agriculture,Water conservation,IMPROVES,Practice,Climate Mitigation
Reduced chill hours,Pest outbreaks,INCREASES,Climate Effect,Outcome
Flood irrigation,Soil erosion,REDUCES,Practice,Outcome
Drip irrigation,Crop yield,AFFECTS,Practice,Outcome
Crop rotation,Water conservation,IMPROVES,Practice,Climate Mitigation
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
Increased flooding,Wheat,REDUCES,Climate Effect,Crop
Crop rotation,Nitrous Oxide (N2O),INCREASES,Practice,Emission
Drought,Water scarcity,CAUSES,Climate Effect,Outcome
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Rising temperatures,Crop yield,DECREASES,Climate Effect,Outcome
Precision agriculture,Crop yield,AFFECTS,Practice,Outcome
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Heatwaves,Cassava,REDUCES,Climate Effect,Crop
Drip irrigation,Groundwater,CONSERVES,Practice,Resource
Methane (CH4),Rising temperatures,CAUSES,Emission,Climate Effect
Sea level rise,Soil erosion,WORSENS,Climate Effect,Outcome
No-tillage farming,Soil health,IMPROVES,Practice,Outcome
Flood irrigation,Soil health,IMPROVES,Practice,Outcome
Organic farming,Crop yield,AFFECTS,Practice,Outcome
Reduced chill hours,Peat soil,AFFECTS,Climate Effect,Soil
Rising temperatures,Crop yield,DECREASES,Climate Effect,Outcome
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
Nitrogen Fertilizers,Nitrous Oxide (N2O),RELEASES,Specific Entity,Emission
Rising temperatures,Crop yield,DECREASES,Climate Effect,Outcome
Carbon Dioxide (CO2),Soil salinization,CAUSES,Emission,Climate Effect
Sea level rise,Grapes,REDUCES,Climate Effect,Crop
Rising temperatures,Peat soil,AFFECTS,Climate Effect,Soil
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Drip irrigation,Arable land,CONSERVES,Practice,Resource
Cassava,Groundwater,REQUIRES,Crop,Resource
Organic farming,Greenhouse Gases (GHG),REDUCES,Practice,Emission
Sea level rise,Soil erosion,WORSENS,Climate Effect,Outcome
Cover cropping,Soil health,IMPROVES,Practice,Outcome
Crop rotation,Nitrous Oxide (N2O),REDUCES,Practice,Emission
Crop rotation,Nitrous Oxide (N2O),REDUCES,Practice,Emission
Reduced chill hours,Sugarcane,REDUCES,Climate Effect,Crop
Ocean acidification,Food security,THREATENS,Climate Effect,Outcome
Increased flooding,Soil erosion,WORSENS,Climate Effect,Outcome
Drought,Sorghum,REDUCES,Climate Effect,Crop
Soil salinization,Food security,THREATENS,Climate Effect,Outcome
Pesticides,Biodiversity loss,REDUCES,Specific Entity,Outcome
Rising temperatures,Soil erosion,WORSENS,Climate Effect,Outcome
Extreme weather events,Chalky soil,AFFECTS,Climate Effect,Soil
Flood irrigation,Soil health,IMPROVES,Practice,Outcome
Extreme weather events,Chalky soil,AFFECTS,Climate Effect,Soil
Crop rotation,Greenhouse Gases (GHG),INCREASES,Practice,Emission
Precision agriculture,Carbon Dioxide (CO2),REDUCES,Practice,Emission
Wheat,Arable land,REQUIRES,Crop,Resource
Reduced chill hours,Pest outbreaks,INCREASES,Climate Effect,Outcome
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Crop rotation,Soil health,IMPROVES,Practice,Outcome
No-tillage farming,Carbon sequestration,INCREASES,Practice,Climate Mitigation
Reduced chill hours,Food security,THREATENS,Climate Effect,Outcome
Drought,Soil erosion,WORSENS,Climate Effect,Outcome
Organic farming,Nitrous Oxide (N2O),INCREASES,Practice,Emission
Sea level rise,Crop yield,DECREASES,Climate Effect,Outcome
Integrated pest management (IPM),Soil erosion,REDUCES,Practice,Outcome
Greenhouse Gases (GHG),Soil salinization,CAUSES,Emission,Climate Effect
Altered precipitation patterns,Crop yield,DECREASES,Climate Effect,Outcome
Crop rotation,Soil health,IMPROVES,Practice,Outcome
Livestock,Methane (CH4),PRODUCES,Specific Entity,Emission
Drip irrigation,Freshwater aquifers,CONSERVES,Practice,Resource
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
Deforestation (for farming),Carbon Dioxide (CO2),INCREASES,Specific Entity,Emission
